Name,API Name,Instance Memory,vCPUs,Physical Processor,Instance Storage,Network Performance,On Demand,RHEL On Demand cost,RHEL Reserved cost,Windows On Demand cost,Windows Reserved cost
R6IDN 12xlarge,r6idn.12xlarge,384 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),2850 GB (2×1425 GB NVMe SSD),75 Gigabit,$5.7002 hourly,$6.8906 hourly,$4.7816 hourly,$7.9082 hourly,$5.7992 hourly
C5N 18xlarge,c5n.18xlarge,192 GiB,72 vCPUs,Intel Xeon Platinum 8124M,EBS only,100 Gigabit,$4.8960 hourly,$5.6740 hourly,$3.8620 hourly,$8.2080 hourly,$6.3960 hourly
R6ID Eight Extra Large,r6id.8xlarge,256 GiB,32 vCPUs,Intel Xeon 8375C (Ice Lake),1900 GB NVMe SSD,12.5 Gigabit,$2.9232 hourly,$3.2688 hourly,$2.1872 hourly,$4.3952 hourly,$3.3136 hourly
I3EN 12xlarge,i3en.12xlarge,384 GiB,48 vCPUs,Intel Xeon Platinum 8175,30000 GB (4×7500 GB NVMe SSD),50 Gigabit,$6.3840 hourly,$6.9020 hourly,$4.8760 hourly,$8.5920 hourly,$6.5660 hourly
M6IN Extra Large,m6in.xlarge,16 GiB,4 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 30 Gigabit,$0.3580 hourly,$0.4856 hourly,$0.3532 hourly,$0.5420 hourly,$0.4096 hourly
X2IEDN 32xlarge,x2iedn.32xlarge,4096 GiB,128 vCPUs,Intel Xeon Scalable (Icelake),3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$38.6820 hourly,$39.9108 hourly,$25.0298 hourly,$44.5700 hourly,$29.6890 hourly
C5 High-CPU 18xlarge,c5.18xlarge,144 GiB,72 vCPUs,Intel Xeon Platinum 8124M,EBS only,25 Gigabit,$3.8520 hourly,$5.6380 hourly,$4.2120 hourly,$7.1640 hourly,$5.7390 hourly
C6IN Metal,c6in.metal,256 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,200 Gigabit,$9.1392 hourly,$10.3680 hourly,$6.9865 hourly,$15.0272 hourly,$11.6457 hourly
C7A Eight Extra Large,c7a.8xlarge,64 GiB,32 vCPUs,AMD EPYC 9R14 Processor,EBS only,12.5 Gigabit,$2.0672 hourly,$2.8608 hourly,$2.1568 hourly,$3.5392 hourly,$2.8352 hourly
C5N 9xlarge,c5n.9xlarge,96 GiB,36 vCPUs,Intel Xeon Platinum 8124M,EBS only,50 Gigabit,$2.4480 hourly,$3.3410 hourly,$2.4350 hourly,$4.1040 hourly,$3.1980 hourly
X1E 16xlarge,x1e.16xlarge,1952 GiB,64 vCPUs,High Frequency Intel Xeon E7-8880 v3 (Haswell),1920 GB SSD,10 Gigabit,$19.3440 hourly,$20.0350 hourly,$12.6110 hourly,$22.2880 hourly,$14.8630 hourly
R7IZ Eight Extra Large,r7iz.8xlarge,256 GiB,32 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,12.5 Gigabit,$3.6320 hourly,$4.4256 hourly,$3.0818 hourly,$5.1040 hourly,$3.7602 hourly
R6IDN Metal,r6idn.metal,1024 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),200 Gigabit,$15.2006 hourly,$16.4294 hourly,$10.8052 hourly,$21.0886 hourly,$15.4644 hourly
R4 High-Memory Quadruple Extra Large,r4.4xlarge,122 GiB,16 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,Up to 10 Gigabit,$1.2800 hourly,$1.6768 hourly,$1.2032 hourly,$2.0160 hourly,$1.5424 hourly
M6ID Double Extra Large,m6id.2xlarge,32 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),474 GB NVMe SSD,Up to 12.5 Gigabit,$0.6132 hourly,$0.8684 hourly,$0.6415 hourly,$0.9812 hourly,$0.7543 hourly
M5 General Purpose Eight Extra Large,m5d.8xlarge,128 GiB,32 vCPUs,Intel Xeon Platinum 8175,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$2.3360 hourly,$3.1300 hourly,$2.2650 hourly,$3.8080 hourly,$2.9440 hourly
X2IDN Metal,x2idn.metal,2048 GiB,128 vCPUs,Intel Xeon Scalable (Icelake),3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$19.3410 hourly,$20.5698 hourly,$13.1293 hourly,$25.2290 hourly,$17.7885 hourly
M8G Eight Extra Large,m8g.8xlarge,128 GiB,32 vCPUs,AWS Graviton4 Processor,EBS only,15 Gigabit,$1.8550 hourly,$2.6486 hourly,$2.0227 hourly,unavailable,unavailable
C5 High-CPU 24xlarge,c5d.24xlarge,192 GiB,96 vCPUs,Intel Xeon Platinum 8275L,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$5.8560 hourly,$8.2370 hourly,$6.0700 hourly,$10.2720 hourly,$8.1050 hourly
C5 High-CPU Metal,c5d.metal,192 GiB,96 vCPUs,Intel Xeon Platinum 8275L,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$5.8560 hourly,$6.8930 hourly,$4.7260 hourly,$10.2720 hourly,$8.1050 hourly
M5 General Purpose 12xlarge,m5.12xlarge,192 GiB,48 vCPUs,Intel Xeon Platinum 8175,EBS only,12 Gigabit,$2.9760 hourly,$4.1660 hourly,$3.0650 hourly,$5.1840 hourly,$4.0830 hourly
I7I 24xlarge,i7i.24xlarge,768 GiB,96 vCPUs,Intel Xeon Scalable (Emerald Rapids),22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R4 High-Memory Double Extra Large,r4.2xlarge,61 GiB,8 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,Up to 10 Gigabit,$0.6400 hourly,$0.8952 hourly,$0.6584 hourly,$1.0080 hourly,$0.7712 hourly
C5N Metal,c5n.metal,192 GiB,72 vCPUs,Intel Xeon Platinum 8124M,EBS only,100 Gigabit,$4.8960 hourly,$6.6820 hourly,$4.8700 hourly,$8.2080 hourly,$6.3960 hourly
R7GD Metal,r7gd.metal,512 GiB,64 vCPUs,AWS Graviton3 Processor,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$5.2618 hourly,$6.8490 hourly,$4.9021 hourly,unavailable,unavailable
R7IZ 12xlarge,r7iz.12xlarge,384 GiB,48 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,25 Gigabit,$5.4480 hourly,$6.6384 hourly,$4.6226 hourly,$7.6560 hourly,$5.6402 hourly
R5N Metal,r5n.metal,768 GiB,96 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,100 Gigabit,$8.6880 hourly,$9.7250 hourly,$6.5100 hourly,$13.1040 hourly,$9.8890 hourly
I3EN Large,i3en.large,16 GiB,2 vCPUs,Intel Xeon Platinum 8175,1250 GB NVMe SSD,Up to 25 Gigabit,$0.2660 hourly,$0.2950 hourly,$0.2100 hourly,$0.3580 hourly,$0.2740 hourly
C8G Metal-48xl,c8g.metal-48xl,384 GiB,192 vCPUs,AWS Graviton4 Processor,EBS only,50 Gigabit,$9.6058 hourly,$11.4490 hourly,$8.1772 hourly,unavailable,unavailable
M7I 16xlarge,m7i.16xlarge,256 GiB,64 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,25 Gigabit,$4.1664 hourly,$5.7536 hourly,$4.3479 hourly,$7.1104 hourly,$5.7047 hourly
M6I Eight Extra Large,m6i.8xlarge,128 GiB,32 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,12.5 Gigabit,$1.9840 hourly,$2.3296 hourly,$1.6602 hourly,$3.4560 hourly,$2.7866 hourly
R5 Double Extra Large,r5.2xlarge,64 GiB,8 vCPUs,Intel Xeon Platinum 8175,EBS only,Up to 10 Gigabit,$0.6080 hourly,$0.7230 hourly,$0.4980 hourly,$0.9760 hourly,$0.7510 hourly
M5A Extra Large,m5a.xlarge,16 GiB,4 vCPUs,AMD EPYC 7571,EBS only,Up to 10 Gigabit,$0.2240 hourly,$0.2820 hourly,$0.1990 hourly,$0.4080 hourly,$0.3250 hourly
C5 High-CPU 9xlarge,c5d.9xlarge,72 GiB,36 vCPUs,Intel Xeon Platinum 8124M,900 GB NVMe SSD,12 Gigabit,$2.1960 hourly,$3.0890 hourly,$2.2760 hourly,$3.8520 hourly,$3.0390 hourly
I7IE 24xlarge,i7ie.24xlarge,768 GiB,96 vCPUs,Intel Xeon Scalable (Emerald Rapids),60000 GB (8×7500 GB NVMe SSD),Up to 100 Gigabit,$14.6832 hourly,$15.7200 hourly,unavailable,$19.0992 hourly,unavailable
M7I Extra Large,m7i.xlarge,16 GiB,4 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.2604 hourly,$0.3180 hourly,$0.2301 hourly,$0.4444 hourly,$0.3565 hourly
M8G 16xlarge,m8g.16xlarge,256 GiB,64 vCPUs,AWS Graviton4 Processor,EBS only,30 Gigabit,$3.7101 hourly,$4.4013 hourly,$3.1493 hourly,unavailable,unavailable
R6ID 16xlarge,r6id.16xlarge,512 GiB,64 vCPUs,Intel Xeon 8375C (Ice Lake),3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$5.8464 hourly,$6.5376 hourly,$4.3744 hourly,$8.7904 hourly,$6.6272 hourly
M7A Eight Extra Large,m7a.8xlarge,128 GiB,32 vCPUs,AMD EPYC 9R14 Processor,EBS only,12.5 Gigabit,$2.3957 hourly,$2.7413 hourly,$1.9330 hourly,$3.8677 hourly,$3.0594 hourly
I4I Double Extra Large,i4i.2xlarge,64 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),1875 GB NVMe SSD,Up to 12 Gigabit,$0.8050 hourly,$1.0600 hourly,$0.7800 hourly,$1.1730 hourly,$0.8930 hourly
R5D 24xlarge,r5d.24xlarge,768 GiB,96 vCPUs,Intel Xeon Platinum 8175,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$8.3520 hourly,$9.3890 hourly,$6.2990 hourly,$12.7680 hourly,$9.6780 hourly
M5AD 16xlarge,m5ad.16xlarge,256 GiB,64 vCPUs,AMD EPYC 7571,2400 GB (4×600 GB NVMe SSD),12 Gigabit,$4.2880 hourly,$5.8750 hourly,$4.2890 hourly,$7.2320 hourly,$5.6450 hourly
G6e Graphics and Machine Learning GPU Double Extra Large,g6e.2xlarge,64 GiB,8 vCPUs,AMD EPYC 7R13 Processor,450 GB NVMe SSD,Up to 20 Gigabit,$3.2517 hourly,$3.5069 hourly,$2.3038 hourly,$3.6197 hourly,$2.4166 hourly
C6ID 12xlarge,c6id.12xlarge,96 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,$3.0744 hourly,$3.5928 hourly,$2.5426 hourly,$5.2824 hourly,$4.2322 hourly
M6ID 32xlarge,m6id.32xlarge,512 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$9.8112 hourly,$11.0400 hourly,$7.4099 hourly,$15.6992 hourly,$12.0691 hourly
M7A Extra Large,m7a.xlarge,16 GiB,4 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$0.2995 hourly,$0.4271 hourly,$0.3260 hourly,$0.4835 hourly,$0.3824 hourly
R7I Extra Large,r7i.xlarge,32 GiB,4 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.3192 hourly,$0.3768 hourly,$0.2687 hourly,$0.5032 hourly,$0.3952 hourly
M6ID 12xlarge,m6id.12xlarge,192 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,$3.6792 hourly,$4.1976 hourly,$2.8363 hourly,$5.8872 hourly,$4.5259 hourly
R6A 24xlarge,r6a.24xlarge,768 GiB,96 vCPUs,AMD EPYC 7R13 Processor,EBS only,37.5 Gigabit,$6.5664 hourly,$8.9472 hourly,$6.7245 hourly,$10.9824 hourly,$8.7597 hourly
C7G Eight Extra Large,c7g.8xlarge,64 GiB,32 vCPUs,AWS Graviton3 Processor,EBS only,15 Gigabit,$1.4554 hourly,$2.2490 hourly,$1.7533 hourly,unavailable,unavailable
M5 General Purpose Eight Extra Large,m5.8xlarge,128 GiB,32 vCPUs,Intel Xeon Platinum 8175,EBS only,10 Gigabit,$1.9840 hourly,$2.3300 hourly,$1.5960 hourly,$3.4560 hourly,$2.7220 hourly
I4I Extra Large,i4i.xlarge,32 GiB,4 vCPUs,Intel Xeon 8375C (Ice Lake),937 GB NVMe SSD,Up to 10 Gigabit,$0.4030 hourly,$0.4600 hourly,$0.3200 hourly,$0.5870 hourly,$0.4460 hourly
C6ID 32xlarge,c6id.32xlarge,256 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$8.1984 hourly,$10.7712 hourly,$7.9706 hourly,$14.0864 hourly,$11.2858 hourly
R5D 16xlarge,r5d.16xlarge,512 GiB,64 vCPUs,Intel Xeon Platinum 8175,2400 GB (4×600 GB NVMe SSD),20 Gigabit,$5.5680 hourly,$6.2590 hourly,$4.1990 hourly,$8.5120 hourly,$6.4520 hourly
M5 General Purpose Double Extra Large,m5d.2xlarge,32 GiB,8 vCPUs,Intel Xeon Platinum 8175,300 GB NVMe SSD,Up to 10 Gigabit,$0.5840 hourly,$0.6990 hourly,$0.4830 hourly,$0.9520 hourly,$0.7360 hourly
G6e Graphics and Machine Learning GPU 12xlarge,g6e.12xlarge,384 GiB,48 vCPUs,AMD EPYC 7R13 Processor,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$15.2174 hourly,$16.4078 hourly,$10.7774 hourly,$17.4254 hourly,$11.7950 hourly
M8G Extra Large,m8g.xlarge,16 GiB,4 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,$0.2319 hourly,$0.3595 hourly,$0.2812 hourly,unavailable,unavailable
Z1D Double Extra Large,z1d.2xlarge,64 GiB,8 vCPUs,Intel Xeon Platinum 8151,300 GB NVMe SSD,Up to 10 Gigabit,$0.9080 hourly,$1.0230 hourly,$0.6870 hourly,$1.2760 hourly,$0.9400 hourly
M5 General Purpose 24xlarge,m5d.24xlarge,384 GiB,96 vCPUs,Intel Xeon Platinum 8175,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$7.0080 hourly,$8.0450 hourly,$5.4520 hourly,$11.4240 hourly,$8.8310 hourly
R5AD Quadruple Extra Large,r5ad.4xlarge,128 GiB,16 vCPUs,AMD EPYC 7571,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$1.2720 hourly,$1.6690 hourly,$1.1980 hourly,$2.0080 hourly,$1.5370 hourly
M5 General Purpose Quadruple Extra Large,m5.4xlarge,64 GiB,16 vCPUs,Intel Xeon Platinum 8175,EBS only,Up to 10 Gigabit,$0.9920 hourly,$1.3890 hourly,$1.0220 hourly,$1.7280 hourly,$1.3610 hourly
M5DN 24xlarge,m5dn.24xlarge,384 GiB,96 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),3600 GB (4×900 GB NVMe SSD),100 Gigabit,$8.4000 hourly,$10.7810 hourly,$7.6730 hourly,$12.8160 hourly,$9.7080 hourly
M5DN 16xlarge,m5dn.16xlarge,256 GiB,64 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),2400 GB (4×600 GB NVMe SSD),75 Gigabit,$5.6000 hourly,$6.2910 hourly,$4.2190 hourly,$8.5440 hourly,$6.4720 hourly
R5DN Eight Extra Large,r5dn.8xlarge,256 GiB,32 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),1200 GB (2×600 GB NVMe SSD),25 Gigabit,$3.2480 hourly,$4.0416 hourly,$2.8398 hourly,$4.7200 hourly,$3.5180 hourly
C6I Large,c6i.large,4 GiB,2 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 12.5 Gigabit,$0.1070 hourly,$0.1358 hourly,$0.0994 hourly,$0.1990 hourly,$0.1626 hourly
R6IDN Eight Extra Large,r6idn.8xlarge,256 GiB,32 vCPUs,Intel Xeon 8375C (Ice Lake),1900 GB NVMe SSD,50 Gigabit,$3.8002 hourly,$4.1458 hourly,$2.7397 hourly,$5.2722 hourly,$3.8661 hourly
R6IDN Quadruple Extra Large,r6idn.4xlarge,128 GiB,16 vCPUs,Intel Xeon 8375C (Ice Lake),950 GB NVMe SSD,Up to 50 Gigabit,$1.9001 hourly,$2.2969 hourly,$1.5938 hourly,$2.6361 hourly,$1.9330 hourly
C6IN Double Extra Large,c6in.2xlarge,16 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 40 Gigabit,$0.5712 hourly,$0.6864 hourly,$0.4751 hourly,$0.9392 hourly,$0.7279 hourly
M5DN Eight Extra Large,m5dn.8xlarge,128 GiB,32 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),1200 GB (2×600 GB NVMe SSD),25 Gigabit,$2.8000 hourly,$3.1460 hourly,$2.1100 hourly,$4.2720 hourly,$3.2360 hourly
D3 Extra Large,d3.xlarge,32 GiB,4 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),5940 GB (3×1980 GB NVMe HDD),Up to 15 Gigabit,$0.7240 hourly,$0.8520 hourly,$0.5840 hourly,$0.9080 hourly,$0.6400 hourly
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,4 vCPUs,Intel Xeon E5-2666 v3 (Haswell),EBS only,High,$0.2520 hourly,$0.3100 hourly,$0.2380 hourly,$0.4360 hourly,$0.3650 hourly
P6-B200 High Performance and Machine Learning GPU 48xlarge,p6-b200.48xlarge,2048 GiB,192 vCPUs,Intel Xeon Scalable (Emerald Rapids),EBS only,3200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
Z1D Large,z1d.large,16 GiB,2 vCPUs,Intel Xeon Platinum 8151,75 GB NVMe SSD,Up to 10 Gigabit,$0.2270 hourly,$0.2560 hourly,$0.1720 hourly,$0.3190 hourly,$0.2350 hourly
R5A Eight Extra Large,r5a.8xlarge,256 GiB,32 vCPUs,AMD EPYC 7571,EBS only,Up to 10 Gigabit,$2.1920 hourly,$2.9860 hourly,$2.1720 hourly,$3.6640 hourly,$2.8510 hourly
M5ZN 3xlarge,m5zn.3xlarge,48 GiB,12 vCPUs,Intel Xeon Platinum 8252,EBS only,Up to 25 Gigabit,$1.2801 hourly,$1.4097 hourly,$0.9309 hourly,$1.8321 hourly,$1.3533 hourly
R7GD Large,r7gd.large,16 GiB,2 vCPUs,AWS Graviton3 Processor,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1644 hourly,$0.1932 hourly,$0.1324 hourly,unavailable,unavailable
R6ID 32xlarge,r6id.32xlarge,1024 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$11.6928 hourly,$14.2656 hourly,$9.9393 hourly,$17.5808 hourly,$13.2545 hourly
C6I 16xlarge,c6i.16xlarge,128 GiB,64 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,25 Gigabit,$3.4240 hourly,$5.0112 hourly,$3.8451 hourly,$6.3680 hourly,$5.2019 hourly
X1E 32xlarge,x1e.32xlarge,3904 GiB,128 vCPUs,High Frequency Intel Xeon E7-8880 v3 (Haswell),3840 GB (2×1920 GB SSD),25 Gigabit,$38.6880 hourly,$41.2610 hourly,$26.4110 hourly,$44.5760 hourly,$29.7270 hourly
I3EN 24xlarge,i3en.24xlarge,768 GiB,96 vCPUs,Intel Xeon Platinum 8175,60000 GB (8×7500 GB NVMe SSD),100 Gigabit,$12.7680 hourly,$13.8050 hourly,$9.7530 hourly,$17.1840 hourly,$13.1320 hourly
R5AD Double Extra Large,r5ad.2xlarge,64 GiB,8 vCPUs,AMD EPYC 7571,300 GB NVMe SSD,Up to 10 Gigabit,$0.6360 hourly,$0.8910 hourly,$0.6560 hourly,$1.0040 hourly,$0.7690 hourly
G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,128 GiB,32 vCPUs,AMD EPYC 7R32,900 GB NVMe SSD,25 Gigabit,$3.5503 hourly,$4.3439 hourly,$3.0303 hourly,$5.0223 hourly,$3.7087 hourly
T4G Large,t4g.large,8 GiB,2 vCPUs (7h 12m burst),AWS Graviton2 Processor,EBS only,Up to 5 Gigabit,$0.0864 hourly,$0.1152 hourly,$0.0832 hourly,unavailable,unavailable
R5B 12xlarge,r5b.12xlarge,384 GiB,48 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,12 Gigabit,$4.3440 hourly,$5.5344 hourly,$3.9271 hourly,$6.5520 hourly,$4.9447 hourly
R8GD 12xlarge,r8gd.12xlarge,384 GiB,48 vCPUs,AWS Graviton4 Processor,2850 GB (3×950 GB NVMe SSD),22.5 Gigabit,$4.2619 hourly,$4.7803 hourly,unavailable,unavailable,unavailable
INF1 Double Extra Large,inf1.2xlarge,16 GiB,8 vCPUs,Intel Xeon Platinum 8275CL (Cascade Lake),EBS only,Up to 25 Gigabit,$0.4890 hourly,$0.7440 hourly,$0.5630 hourly,unavailable,unavailable
C5A 24xlarge,c5a.24xlarge,192 GiB,96 vCPUs,AMD EPYC 7R32,EBS only,20 Gigabit,$4.6080 hourly,$5.6450 hourly,$3.9400 hourly,$9.0240 hourly,$7.3190 hourly
C5AD Large,c5ad.large,4 GiB,2 vCPUs,AMD EPYC 7R32,75 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M6ID 16xlarge,m6id.16xlarge,256 GiB,64 vCPUs,Intel Xeon 8375C (Ice Lake),3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$4.9056 hourly,$5.5968 hourly,$3.7817 hourly,$7.8496 hourly,$6.0345 hourly
R5A Extra Large,r5a.xlarge,32 GiB,4 vCPUs,AMD EPYC 7571,EBS only,Up to 10 Gigabit,$0.2740 hourly,$0.4020 hourly,$0.3000 hourly,$0.4580 hourly,$0.3560 hourly
X2IEDN 16xlarge,x2iedn.16xlarge,2048 GiB,64 vCPUs,Intel Xeon Scalable (Icelake),1900 GB NVMe SSD,50 Gigabit,$19.3410 hourly,$20.0322 hourly,$12.5917 hourly,$22.2850 hourly,$14.8445 hourly
M6GD Extra Large,m6gd.xlarge,16 GiB,4 vCPUs,AWS Graviton2 Processor,237 GB NVMe SSD,Up to 10 Gigabit,$0.2340 hourly,$0.3616 hourly,$0.2746 hourly,unavailable,unavailable
C6ID Metal,c6id.metal,256 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$8.1984 hourly,$9.4272 hourly,$6.6266 hourly,$14.0864 hourly,$11.2858 hourly
R7A 12xlarge,r7a.12xlarge,384 GiB,48 vCPUs,AMD EPYC 9R14 Processor,EBS only,18.75 Gigabit,$4.4050 hourly,$4.9234 hourly,$3.4323 hourly,$6.6130 hourly,$5.1219 hourly
R5B Large,r5b.large,16 GiB,2 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,Up to 10 Gigabit,$0.1810 hourly,$0.2098 hourly,$0.1428 hourly,$0.2730 hourly,$0.2060 hourly
C7I Metal-24xl,c7i.metal-24xl,192 GiB,96 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,37.5 Gigabit,$5.3928 hourly,$7.7736 hourly,$5.9370 hourly,$9.8088 hourly,$7.9722 hourly
R5A 24xlarge,r5a.24xlarge,768 GiB,96 vCPUs,AMD EPYC 7571,EBS only,20 Gigabit,$6.5760 hourly,$7.6130 hourly,$5.1730 hourly,$10.9920 hourly,$8.5520 hourly
T3 Extra Large,t3.xlarge,16 GiB,4 vCPUs (9h 36m burst),Intel Skylake E5 2686 v5,EBS only,Up to 5 Gigabit,$0.2176 hourly,$0.3452 hourly,$0.2647 hourly,$0.2912 hourly,$0.2107 hourly
I4I 12xlarge,i4i.12xlarge,384 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),11250 GB (3×3750 GB NVMe SSD),28.12 Gigabit,$4.8310 hourly,$5.3500 hourly,$3.6660 hourly,$7.0390 hourly,$5.3550 hourly
I3EN 6xlarge,i3en.6xlarge,192 GiB,24 vCPUs,Intel Xeon Platinum 8175,15000 GB (2×7500 GB NVMe SSD),25 Gigabit,$3.1920 hourly,$3.4510 hourly,$2.4380 hourly,$4.2960 hourly,$3.2830 hourly
T4G Micro,t4g.micro,1 GiB,2 vCPUs (2h 24m burst),AWS Graviton2 Processor,EBS only,Up to 5 Gigabit,$0.0108 hourly,$0.0396 hourly,$0.0356 hourly,unavailable,unavailable
M5DN 12xlarge,m5dn.12xlarge,192 GiB,48 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),1800 GB (2×900 GB NVMe SSD),50 Gigabit,$4.2000 hourly,$4.7180 hourly,$3.1640 hourly,$6.4080 hourly,$4.8540 hourly
U-6TB1 112xlarge,u-6tb1.112xlarge,6144 GiB,448 vCPUs,Intel Xeon Scalable (Skylake),EBS only,100 Gigabit,$65.8670 hourly,$74.8718 hourly,$49.5950 hourly,$86.4750 hourly,$61.1982 hourly
M6I 12xlarge,m6i.12xlarge,192 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,18.75 Gigabit,$2.9760 hourly,$4.1664 hourly,$3.1623 hourly,$5.1840 hourly,$4.1799 hourly
R6A Quadruple Extra Large,r6a.4xlarge,128 GiB,16 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 12.5 Gigabit,$1.0944 hourly,$1.4912 hourly,$1.1207 hourly,$1.8304 hourly,$1.4600 hourly
R6A Double Extra Large,r6a.2xlarge,64 GiB,8 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 12.5 Gigabit,$0.5472 hourly,$0.8024 hourly,$0.6172 hourly,$0.9152 hourly,$0.7300 hourly
M5 General Purpose Extra Large,m5.xlarge,16 GiB,4 vCPUs,Intel Xeon Platinum 8175,EBS only,Up to 10 Gigabit,$0.2480 hourly,$0.3760 hourly,$0.2840 hourly,$0.4320 hourly,$0.3400 hourly
R5AD 16xlarge,r5ad.16xlarge,512 GiB,64 vCPUs,AMD EPYC 7571,2400 GB (4×600 GB NVMe SSD),12 Gigabit,$5.0880 hourly,$5.7790 hourly,$3.8970 hourly,$8.0320 hourly,$6.1490 hourly
U-6TB1 56xlarge,u-6tb1.56xlarge,6144 GiB,224 vCPUs,Intel Xeon Scalable (Skylake),EBS only,100 Gigabit,$55.9796 hourly,$60.4820 hourly,$38.9995 hourly,$66.2836 hourly,$44.8011 hourly
R6A Extra Large,r6a.xlarge,32 GiB,4 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 12.5 Gigabit,$0.2736 hourly,$0.4012 hourly,$0.3086 hourly,$0.4576 hourly,$0.3650 hourly
M6IN Metal,m6in.metal,512 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,200 Gigabit,$11.4566 hourly,$14.0294 hourly,$9.7905 hourly,$17.3446 hourly,$13.1057 hourly
R6ID Metal,r6id.metal,1024 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$11.6928 hourly,$14.2656 hourly,$9.9393 hourly,$17.5808 hourly,$13.2545 hourly
M6IN 16xlarge,m6in.16xlarge,256 GiB,64 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,100 Gigabit,$5.7283 hourly,$7.3155 hourly,$5.1960 hourly,$8.6723 hourly,$6.5528 hourly
